name,trans,yr,trans
"Xeon Platinum 8180 (28-core 64-bit, SIMD, caches)",8000000000[109],2017,8000000000
"POWER9 (64-bit, SIMD, caches)","8,000,000,000",2017,8000000000
"Freedom U500 Base Platform Chip (E51, 4×U54) RISC-V (64-bit, caches)",250000000[110],2017,250000000
"SPARC64 XII (12-core 64-bit, SIMD, caches)",5450000000[111],2017,5450000000
"Apple A10X Fusion (hexa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",4300000000[112],2017,4300000000
"Centriq 2400 (64/32-bit, SIMD, caches)",18000000000[113],2017,18000000000
"AMD Epyc (32-core 64-bit, SIMD, caches)","19,200,000,000",2017,19200000000
"HiSilicon Kirin 710 (octa-core ARM64 ""mobile SoC"", SIMD, caches)",5500000000[114],2018,5500000000
"Apple A12 Bionic (hexa-core ARM64 ""mobile SoC"", SIMD, caches)",6900000000[115][116],2018,6900000000
"HiSilicon Kirin 980 (octa-core ARM64 ""mobile SoC"", SIMD, caches)",6900000000[117],2018,6900000000
"Qualcomm Snapdragon 8cx / SCX8180 (octa-core ARM64 ""mobile SoC"", SIMD, caches)",8500000000[118],2018,8500000000
"Qualcomm Snapdragon 855 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",6700000000[119],2019,6700000000
"Qualcomm Snapdragon 865 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",10300000000[120],2020,10300000000
"Apple A12X Bionic (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",10000000000[122],2018,10000000000
"Fujitsu A64FX (64/32-bit, SIMD, caches)",8786000000[123],2018,8786000000
Tegra Xavier SoC (64/32-bit),9000000000[125],2018,9000000000
"AMD Ryzen 7 3700X (64-bit, SIMD, caches, I/O die)",5990000000[126][d],2019,5990000000
HiSilicon Kirin 990 4G,8000000000[127],2019,8000000000
"Apple A13 (hexa-core 64-bit ARM64 ""mobile SoC"", SIMD, caches)",8500000000[128][129],2019,8500000000
"IBM z15 CP chip (12 cores, 256 MB L3 cache)",9200000000[130],2019,9200000000
IBM z15 SC chip (960 MB L4 cache),"12,200,000,000",2019,12200000000
"AMD Ryzen 9 3900X (64-bit, SIMD, caches, I/O die)",9890000000[131][132],2019,9890000000
HiSilicon Kirin 990 5G,10300000000[133],2019,10300000000
"AWS Graviton2 (64-bit, 64-core ARM-based, SIMD, caches)[134][135]","30,000,000,000",2019,30000000000
"AMD Epyc Rome (64-bit, SIMD, caches)",39540000000[131][132],2019,39540000000
"TI Jacinto TDA4VM (ARM A72, DSP, SRAM)",3500000000[136],2020,3500000000
"Apple A14 Bionic (hexa-core 64-bit ARM64 ""mobile SoC"", SIMD, caches)",11800000000[137],2020,11800000000
"Apple M1 (octa-core 64-bit ARM64 SoC, SIMD, caches)",16000000000[138],2020,16000000000
HiSilicon Kirin 9000,15300000000[139][140],2020,15300000000
"AMD Ryzen 7 5800H (64-bit, SIMD, caches, I/O and GPU)",10700000000[141],2021,10700000000
Apple A15,15000000000[143][144],2021,15000000000
"Apple M1 Pro (10-core, 64-bit)",33700000000[145],2021,33700000000
"Apple M1 Max (10-core, 64-bit)",57000000000[147][145],2021,57000000000
Power10 dual-chip module (30 SMT8 cores or 60 SMT4 cores),36000000000[149],2021,36000000000
"Apple M1 Ultra (dual-chip module, 2×10 cores)",114000000000[2][3],2022,1.14E+11
"AMD Epyc 7773X (Milan-X) (multi-chip module, 64 cores, 768 MB L3 cache)",26000000000,2022,26000000000
"IBM Telum dual-chip module (2×8 cores, 2×256 MB cache)",45000000000[151][152],2022,45000000000
"Apple M2 (deca-core 64-bit ARM64 SoC, SIMD, caches)",20000000000[153],2022,20000000000
Apple A16 (ARM64 SoC),16000000000[154][155][156],2022,16000000000
